City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Esperance,AU,-33.8667,121.9,70.79,60,70,11.34,broken clouds
236,Beringovskiy,RU,63.05,179.3167,32.34,97,100,24.11,light snow
237,Balikpapan,ID,-1.2675,116.8289,81.59,94,40,5.75,moderate rain
238,Port-Gentil,GA,-0.7193,8.7815,80.08,82,100,3.13,overcast clouds
239,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,55.94,93,0,3.44,fog
240,Pirawa,IN,24.1551,76.0273,83.32,33,0,14.45,clear sky
241,Provideniya,RU,64.3833,-173.3,32.7,95,100,26.49,light snow
242,Mehamn,NO,71.0357,27.8492,35.29,97,100,21.85,light snow
243,Narsaq,GL,60.9167,-46.05,30.42,75,92,2.48,overcast clouds
244,Dukat,RU,62.55,155.55,17.01,84,100,5.82,overcast clouds
245,Machali,CL,-34.1833,-70.6667,57.52,54,0,2.26,clear sky
246,Guerrero Negro,MX,27.9769,-114.0611,61.0,73,100,15.39,overcast clouds
247,Ajaccio,FR,42.0,8.9167,51.85,81,0,4.61,clear sky
248,Custoias,PT,41.1053,-7.321,54.03,75,8,1.1,clear sky
249,Atambua,ID,-9.1061,124.8925,83.68,65,59,2.37,broken clouds
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.71,62,99,14.43,overcast clouds
251,Candido Mendes,BR,-1.4467,-45.7167,74.28,96,100,2.24,light rain
252,Darhan,MN,49.4867,105.9228,43.39,41,100,0.45,overcast clouds
253,Kostyantynivka,UA,48.5277,37.7069,46.26,89,46,9.57,scattered clouds
254,Serenje,ZM,-13.2325,30.2352,60.71,98,47,4.0,scattered clouds
255,Shelburne,CA,44.0787,-80.2041,38.23,56,97,17.76,overcast clouds
256,Teseney,ER,15.11,36.6575,86.61,36,67,4.76,broken clouds
257,Chokurdakh,RU,70.6333,147.9167,11.59,87,100,5.64,overcast clouds
258,Kota Bahru,MY,6.1333,102.2386,81.81,82,93,2.86,overcast clouds
259,Mareeba,AU,-17.0,145.4333,81.48,59,100,6.96,overcast clouds
260,Lerwick,GB,60.1545,-1.1494,46.4,90,100,24.74,overcast clouds
261,Chicama,PE,-7.8447,-79.1469,61.34,77,56,7.05,broken clouds
262,Whitehorse,CA,60.7161,-135.0538,43.11,20,100,5.99,overcast clouds
263,Luderitz,NA,-26.6481,15.1594,58.26,63,0,14.09,clear sky
264,Matagami,CA,49.7502,-77.6328,30.22,95,100,4.83,light snow
265,Carutapera,BR,-1.195,-46.02,75.87,93,100,4.7,overcast clouds
266,Aqtobe,KZ,50.2797,57.2072,37.49,93,0,4.47,clear sky
267,Svarstad,NO,59.399,9.9698,41.0,60,99,2.73,overcast clouds
268,Magadan,RU,59.5667,150.8,25.25,64,97,4.9,overcast clouds
269,Hamilton,US,39.1834,-84.5333,65.03,51,100,27.63,light rain
270,Mar Del Plata,AR,-38.0023,-57.5575,58.08,85,0,11.01,clear sky
271,Pemberton,CA,50.3164,-122.8027,42.4,64,76,1.66,broken clouds
272,Tirukkoyilur,IN,11.95,79.2,84.18,71,23,7.31,few clouds
273,Lagoa,PT,39.05,-27.9833,58.8,71,100,11.34,overcast clouds
274,Victoria,HK,22.2855,114.1577,73.96,73,95,21.0,overcast clouds
275,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,48,0,12.66,clear sky
276,Olafsvik,IS,64.8945,-23.7142,45.63,83,100,30.42,overcast clouds
277,Porosozero,RU,62.7191,32.727,22.3,93,16,3.91,few clouds
278,Babstovo,RU,48.1167,132.4833,50.18,38,99,4.85,overcast clouds
279,Bonavista,CA,48.6499,-53.1147,33.3,84,74,13.0,broken clouds
280,Along,IN,28.1667,94.7667,67.55,94,100,1.61,moderate rain
281,Menongue,AO,-14.6585,17.691,61.02,93,87,2.26,overcast clouds
282,Port Shepstone,ZA,-30.7414,30.455,64.69,86,100,17.67,moderate rain
283,Yeniseysk,RU,58.4497,92.1703,37.87,97,100,2.06,overcast clouds
284,Saint-Augustin,CA,51.226,-58.6502,30.76,99,100,6.46,snow
285,Neiafu,TO,-18.65,-173.9833,79.48,94,75,4.61,broken clouds
286,Harrison,US,30.4091,-89.0436,71.67,89,0,8.05,clear sky
287,Tiarei,PF,-17.5333,-149.3333,87.82,75,6,16.26,clear sky
288,Amahai,ID,-3.3333,128.9167,87.66,57,99,1.48,overcast clouds
289,Mafinga,TZ,-7.25,35.0667,66.54,85,99,2.98,overcast clouds
290,Haian,CN,32.5436,120.45,57.56,44,100,8.14,overcast clouds
291,Rio Gallegos,AR,-51.6226,-69.2181,48.74,64,14,21.74,few clouds
292,Masuguru,TZ,-11.3667,38.4167,70.61,99,46,2.8,scattered clouds
293,Sampit,ID,-2.5333,112.95,78.57,87,100,1.25,heavy intensity rain
294,Oksfjord,NO,70.2396,22.3479,32.07,80,100,7.07,overcast clouds
295,Pakxan,LA,18.3778,103.6601,92.01,44,7,4.74,clear sky
296,Hualmay,PE,-11.0964,-77.6139,66.45,85,15,11.5,few clouds
297,Camacupa,AO,-12.0167,17.4833,62.13,96,100,2.42,overcast clouds
298,Zonalnaya Stantsiya,RU,56.4269,85.0221,48.31,40,0,8.95,clear sky
299,Stawell,AU,-37.05,142.7667,76.08,30,2,10.47,clear sky
300,Pisco,PE,-13.7,-76.2167,66.02,82,0,13.8,clear sky
301,Caconda,AO,-13.7333,15.0667,59.72,92,100,0.04,overcast clouds
302,Hasaki,JP,35.7333,140.8333,54.0,81,100,29.37,overcast clouds
303,Griffith,US,41.5284,-87.4237,49.24,65,100,11.5,overcast clouds
304,Henties Bay,NA,-22.116,14.2845,58.59,87,0,5.12,clear sky
305,Bengkulu,ID,-3.8004,102.2655,81.21,74,100,2.33,overcast clouds
306,Pemba,MZ,-12.974,40.5178,77.7,94,40,6.91,scattered clouds
307,Katsuura,JP,35.1333,140.3,52.25,80,100,22.91,overcast clouds
308,Longyearbyen,SJ,78.2186,15.6401,31.84,86,75,6.91,light snow
309,Road Town,VG,18.4167,-64.6167,78.84,73,40,12.66,scattered clouds
310,Alta Floresta,BR,-9.8756,-56.0861,71.55,96,99,0.89,overcast clouds
311,Banda Aceh,ID,5.5577,95.3222,83.62,71,48,0.18,scattered clouds
312,Rumphi,MW,-11.0186,33.8575,62.02,97,75,3.06,broken clouds
313,Lasa,IT,46.6166,10.7002,45.7,92,46,7.54,scattered clouds
314,Shingu,JP,33.7333,135.9833,61.72,38,84,4.99,broken clouds
315,Morondava,MG,-20.2833,44.2833,78.1,71,7,7.23,clear sky
316,Shahrud,IR,36.4182,54.9763,49.59,69,1,9.01,clear sky
317,Pedro Ii,BR,-4.4247,-41.4586,68.45,97,85,1.99,overcast clouds
318,Williamsburg,US,37.2707,-76.7075,60.57,46,0,11.5,clear sky
319,Craig,US,40.5153,-107.5464,46.35,53,100,5.75,overcast clouds
320,Linguere,SN,15.3953,-15.1193,72.73,42,12,11.45,few clouds
321,Bima,ID,-8.4667,118.7167,88.18,66,37,2.82,scattered clouds
322,San Antero,CO,9.3741,-75.7589,81.32,81,95,13.29,overcast clouds
323,Baruun-Urt,MN,46.6806,113.2792,47.71,26,77,13.24,broken clouds
324,Belmonte,BR,-15.8631,-38.8828,76.28,94,100,13.22,light rain
325,Cherskiy,RU,68.75,161.3,21.13,92,100,8.14,overcast clouds
326,Grahamstown,ZA,-33.3042,26.5328,46.18,87,64,2.48,broken clouds
327,Kruisfontein,ZA,-34.0033,24.7314,52.88,76,80,4.27,light rain
328,Sitka,US,57.0531,-135.33,46.29,61,40,14.97,scattered clouds
329,Russell,US,32.3502,-85.1999,70.83,78,0,0.0,clear sky
330,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.88,83,1,4.83,clear sky
331,Deputatskiy,RU,69.3,139.9,9.68,71,100,2.86,overcast clouds
332,Yeppoon,AU,-23.1333,150.7333,80.38,60,9,12.73,clear sky
333,Luau,AO,-10.7073,22.2247,63.88,98,100,1.72,moderate rain
334,Muros,ES,42.7762,-9.0603,52.16,92,20,2.24,few clouds
335,Arraial Do Cabo,BR,-22.9661,-42.0278,72.41,69,4,21.34,clear sky
336,Reconquista,AR,-29.15,-59.65,54.03,84,0,6.62,clear sky
337,Mazatlan,MX,23.2167,-106.4167,75.9,70,20,5.75,few clouds
338,Maniitsoq,GL,65.4167,-52.9,20.5,57,99,6.08,overcast clouds
339,Tam Ky,VN,15.5667,108.4833,82.89,76,38,5.68,scattered clouds
340,Saint-Philippe,RE,-21.3585,55.7679,72.21,85,54,15.61,light rain
341,Scarborough,GB,54.2797,-0.4044,47.91,89,95,8.01,overcast clouds
342,Avera,US,33.194,-82.5271,64.54,64,19,8.84,few clouds
343,Olinda,BR,-8.0089,-34.8553,83.93,74,40,5.75,scattered clouds
344,Boyuibe,BO,-20.4167,-63.2833,59.85,57,79,3.4,broken clouds
345,Balancan,MX,17.8,-91.5333,89.28,36,83,8.66,broken clouds
346,Natal,BR,-5.795,-35.2094,81.25,89,20,3.44,few clouds
